2500000000,2500000000,2500000000,2500000000,2500000000,2500000000
2740059302.78071,2712304269.37299,2702087429.67356,2672531218.14097,2711299091.51072,2528512000
2859348811.61132,2819242512.88836,2762902604.84995,2756644587.89179,2814830306.19158,2567392000
2990160570.83685,2941517738.30251,2842764667.99747,2831887085.56779,2918625846.1197,2647744000
3123618488.59624,3070470700.28614,2930645408.49938,2870828795.09723,3003571845.98308,2773024000
3271783450.53649,3222812117.68233,3040113447.96119,2909798477.74359,3099022213.23821,2977792000
3560634355.35124,3495171716.33797,3307447788.43072,3001126705.01935,3287929302.49587,3208480000
3839113576.70633,3740930622.48173,3565049594.63667,3099859449.89586,3467639632.0237,3415840000
4017476849.53035,3919490412.32683,3687597326.74186,3225153571.74143,3625402284.57431,3545440000
4025942932.59703,3933194220.4803,3521248197.01051,3334252800.54569,3690944417.32528,3562720000
4119468858.30242,4005498419.10747,3480097594.52753,3446385615.6932,3801087460.99775,3415840000
4174192486.59314,4103997509.95508,3466653178.23749,3612493330.91022,3941043908.85729,3280192000
4166048476.19306,4210985340.0596,3512049353.62058,3739209792.38813,4007800661.66115,2951872000
3990591455.53843,4016291799.6005,3354241754.80373,3505105143.66234,3844861772.05076,2605408000
3968108972.7406,3981740185.44555,3308536096.22581,3480266674.20851,3855938809.83578,2231296000
4029333720.42348,4150588875.74444,3385789015.5883,3707956229.21198,4029345085.51108,2066272000
3900065001.63085,4082430240.35973,3294270963.67344,3649301304.35973,3911368564.87506,1852000000
3643849875.06599,3867948612.46749,3085849965.75444,3427822944.75554,3701157179.63137,1579840000
3768227806.47912,3951862807.25134,3154621403.71851,3541420309.13305,3829060320.85368,1605760000
3956268961.87952,4062101178.6412,3231532691.04934,3674774784.66881,3979634816.37626,1702528000
4158509491.71145,4151573301.02317,3306455131.14897,3769824219.94999,4118709265.15503,1704256000
4446358320.66149,4359335431.79998,3429662515.85374,4025161744.87949,4371162784.77404,1723264000
4487864153.36414,4333375227.25994,3362803469.30599,4022466550.62148,4387922367.79012,1712032000
4728959971.72202,4470819109.80503,3500439664.72825,4158385496.08498,4577975575.66073,1723264000
4864224568.1182,4516042088.74342,3505973234.56986,4221898713.65327,4674305395.04602,1844224000
5068801206.11059,4638725211.15234,3638416101.46348,4332813348.61387,4842675803.9766,2062816000
5282716897.29299,4835826635.45495,3780848322.54796,4576369797.82441,5078261219.55217,2268448000
5608122810.23505,5186943941.10624,4138464087.2279,4924759580.90199,5464208086.44879,2557024000
5613116348.75859,5289603076.77199,4123281706.86971,5117075767.08707,5588532148.97091,2717728000
5635529285.77157,5284937690.48008,4098801851.75944,5116142058.97181,5641459434.60968,2715136000
5595971661.76241,5215128967.09663,3996981138.38303,5065545370.34143,5635869523.87072,2584672000
5420278455.05714,5036669794.49,3731376516.90119,4932460185.87383,5502741182.47331,2338432000
5377386440.38507,4952802840.57686,3654592563.23872,4809531401.88721,5451808370.12976,2312512000
5539030089.42292,5075512668.41714,3824050417.94309,4863097093.57803,5599924591.15341,2475808000
5700000000,5197462642.67094,3889967682.49857,4908396647.01309,5700000000,2655520000
5700000000,5309811021.67218,3703232806.51599,4949058485.96399,5700000000,2861152000
5700000000,5412444524.07333,3490675656.00637,5006224180.68594,5700000000,3036544000
5700000000,5623390884.3704,3216199924.40002,5135850345.00991,5700000000,3062464000
5555921125.96813,5700000000,2911841635.46502,5198188192.46709,5700000000,3029632000
5372412838.08864,5700000000,2594969454.67564,5145449502.79027,5700000000,3053824000
5294671978.68054,5700000000,2368674618.28002,5180632887.75925,5700000000,3134176000
5212771227.98061,5700000000,2141204430.37425,5207781876.54701,5700000000,3177376000
5159956235.24584,5700000000,2000480609.19302,5250717290.57983,5700000000,3277600000
5137589520.58258,5700000000,1916636844.66344,5301273913.55933,5700000000,3502240000
5326337954.25095,5700000000,2100561603.58064,5552291129.56307,5700000000,3667264000
5101067282.58462,5676368541.53413,1502867682.11048,5540296152.26524,5700000000,3634432000
4911131759.25746,5700000000,953620017.796581,5596248673.62446,5700000000,3581728000
4663471759.99264,5700000000,600000000,5700000000,5700000000,3487552000
4394665727.69831,5700000000,600000000,5700000000,5700000000,3171328000
3946789979.93966,5542694540.32921,600000000,5458679865.20414,5596887338.44987,2756608000
3751352408.38239,5578097813.88604,600000000,5434907098.47539,5698434457.75283,2583808000
3883746444.09357,5700000000,723305046.957354,5700000000,5700000000,2719456000
3927541476.09723,5700000000,766821784.710286,5700000000,5700000000,2735872000
3975315907.67007,5700000000,667826012.439932,5700000000,5700000000,2506912000
4162677046.4803,5700000000,862256170.828319,5700000000,5700000000,2485312000
4291630146.33115,5700000000,870531011.078553,5700000000,5700000000,2341888000
4418451883.76082,5700000000,955535621.96054,5700000000,5700000000,2347072000
4620650899.31154,5700000000,1016171962.93538,5700000000,5700000000,2284864000
4793967646.35881,5700000000,1041182644.27396,5700000000,5700000000,2386816000
5010575786.03664,5700000000,1008925418.1432,5700000000,5700000000,2500864000
5064900743.29549,5626651764.41221,617055179.169475,5601199302.84305,5676281925.82102,2498272000
5185040770.29799,5628475412.85951,600000000,5548437901.08115,5700000000,2648608000
5280451399.61114,5700000000,600000000,5649943696.98279,5700000000,2722048000
5295525860.27735,5672670841.60529,600000000,5600772368.68615,5700000000,2529376000
5182831620.56658,5559004524.75177,600000000,5539191512.22589,5622522871.2593,2361760000
4901607537.76728,5348027493.22972,600000000,5309878485.74614,5461687571.85451,2118976000
4535799255.3383,5099046633.45625,600000000,5055629799.46518,5264779045.45892,1915072000
